label,review_text,total_words,total_characters,total_stopwords,total_punctuations,total_uppercases,tokens
0,stay one night getaway famili thursday tripl aaa rate steal th floor room complet plasma tv bose stereo voss evian water gorgeou bathroom tub fine us concierg help cannot beat locat flaw breakfast pricey servic slow hour four kid four adult friday morn even though two tabl restaur food good worth wait would return heartbeat gem chicago,105,572,18,18,13,"['stay', 'one', 'night', 'getaway', 'famili', 'thursday', 'tripl', 'aaa', 'rate', 'steal', 'th', 'floor', 'room', 'complet', 'plasma', 'tv', 'bose', 'stereo', 'voss', 'evian', 'water', 'gorgeou', 'bathroom', 'tub', 'fine', 'us', 'concierg', 'help', 'can', 'not', 'beat', 'locat', 'flaw', 'breakfast', 'pricey', 'servic', 'slow', 'hour', 'four', 'kid', 'four', 'adult', 'friday', 'morn', 'even', 'though', 'two', 'tabl', 'restaur', 'food', 'good', 'worth', 'wait', 'would', 'return', 'heartbeat', 'gem', 'chicago']"
0,tripl rate upgrad view room less also includ breakfast voucher great view river lake wrigley bldg tribun bldg major restaur shop sightse attract within walk distanc larg room comfort bed,45,286,8,11,11,"['tripl', 'rate', 'upgrad', 'view', 'room', 'less', 'also', 'includ', 'breakfast', 'voucher', 'great', 'view', 'river', 'lake', 'wrigley', 'bldg', 'tribun', 'bldg', 'major', 'restaur', 'shop', 'sightse', 'attract', 'within', 'walk', 'distanc', 'larg', 'room', 'comfort', 'bed']"
0,come littl late final catch review past sever month dear friend stay hyatt regenc late octob one night visit friend husband town hotel perfect imo easi check check love clean comfort room great view citi know area pretti well conveni mani downtown chicago attract dinner went clube friend around divis st problem get cab back forth hyatt even public transport right near bother sinc need cab hotel park usual chicago expens abl get car quickli howev left sunday morn exactli high traffic time although bear homegam day bit busier usual would think problem best part got rate hotwir downright steal area chicago qualiti hotel,207,1104,38,28,28,"['come', 'littl', 'late', 'final', 'catch', 'review', 'past', 'sever', 'month', 'dear', 'friend', 'stay', 'hyatt', 'regenc', 'late', 'octob', 'one', 'night', 'visit', 'friend', 'husband', 'town', 'hotel', 'perfect', 'imo', 'easi', 'check', 'check', 'love', 'clean', 'comfort', 'room', 'great', 'view', 'citi', 'know', 'area', 'pretti', 'well', 'conveni', 'mani', 'downtown', 'chicago', 'attract', 'dinner', 'went', 'clube', 'friend', 'around', 'divis', 'st', 'problem', 'get', 'cab', 'back', 'forth', 'hyatt', 'even', 'public', 'transport', 'right', 'near', 'bother', 'sinc', 'need', 'cab', 'hotel', 'park', 'usual', 'chicago', 'expens', 'abl', 'get', 'car', 'quickli', 'howev', 'left', 'sunday', 'morn', 'exactli', 'high', 'traffic', 'time', 'although', 'bear', 'homegam', 'day', 'bit', 'busier', 'usual', 'would', 'think', 'problem', 'best', 'part', 'got', 'rate', 'hotwir', 'downright', 'steal', 'area', 'chicago', 'qualiti', 'hotel']"
0,omni chicago realli deliv front spacious room help staff prize locat michigan avenu address chicago requir high level qualiti omni deliv check whole group peopl minut staff plenti recommend dine event room largest find price rang chicago even standard room separ live area work desk fit center free weight weight machin two row cardio equip share room other feel cramp way great properti,127,707,25,17,14,"['omni', 'chicago', 'realli', 'deliv', 'front', 'spacious', 'room', 'help', 'staff', 'prize', 'locat', 'michigan', 'avenu', 'address', 'chicago', 'requir', 'high', 'level', 'qualiti', 'omni', 'deliv', 'check', 'whole', 'group', 'peopl', 'minut', 'staff', 'plenti', 'recommend', 'dine', 'event', 'room', 'largest', 'find', 'price', 'rang', 'chicago', 'even', 'standard', 'room', 'separ', 'live', 'area', 'work', 'desk', 'fit', 'center', 'free', 'weight', 'weight', 'machin', 'two', 'row', 'cardio', 'equip', 'share', 'room', 'other', 'feel', 'cramp', 'way', 'great', 'properti']"
0,ask high floor away elev got room pleasantli decor function clean need whole lot servic pleasant prompt use fit center well equip everyth work order great locat one end michigan avenu shop district,72,384,20,7,9,"['ask', 'high', 'floor', 'away', 'elev', 'got', 'room', 'pleasantli', 'decor', 'function', 'clean', 'need', 'whole', 'lot', 'servic', 'pleasant', 'prompt', 'use', 'fit', 'center', 'well', 'equip', 'everyth', 'work', 'order', 'great', 'locat', 'one', 'end', 'michigan', 'avenu', 'shop', 'district']"
0,stay omni one night follow busi meet anoth downtown chicago hotel complet impress servic personnel stay absolut outstand check quit earli problem effici check room somewhat heavi scent air freshen neg entir stay manag reason well open window gener requir much hotel stay suffic say doorman housekeep night manag bartend day waiter concierg amaz never wait second anyth room comfi amen superior one tini complaint wastebasket near sink near wet bar walk end bathroom sit room dispos kleenex coffe paraphernalia one wastebasket would make differ said great hotel thank omni great stay,183,1043,29,30,19,"['stay', 'omni', 'one', 'night', 'follow', 'busi', 'meet', 'anoth', 'downtown', 'chicago', 'hotel', 'complet', 'impress', 'servic', 'personnel', 'stay', 'absolut', 'outstand', 'check', 'quit', 'earli', 'problem', 'effici', 'check', 'room', 'somewhat', 'heavi', 'scent', 'air', 'freshen', 'neg', 'entir', 'stay', 'manag', 'reason', 'well', 'open', 'window', 'gener', 'requir', 'much', 'hotel', 'stay', 'suffic', 'say', 'doorman', 'housekeep', 'night', 'manag', 'bartend', 'day', 'waiter', 'concierg', 'amaz', 'never', 'wait', 'second', 'anyth', 'room', 'comfi', 'amen', 'superior', 'one', 'tini', 'complaint', 'wastebasket', 'near', 'sink', 'near', 'wet', 'bar', 'walk', 'end', 'bathroom', 'sit', 'room', 'dispos', 'kleenex', 'coffe', 'paraphernalia', 'one', 'wastebasket', 'would', 'make', 'differ', 'said', 'great', 'hotel', 'thank', 'omni', 'great', 'stay']"
0,stay conrad night thanksgiv corner room overlook n michigan av tribun build say star hotel damn place faint prais wonder staff unbeliev help standard room superb hd plasma screen luxuri bedlinen ipod radio huge bathroom locat unbeat right heart everyth watch whole light festiv parad window breakfast excel help buffet full attent tabl servic would hesit recommend stay hotel,118,663,24,18,20,"['stay', 'conrad', 'night', 'thanksgiv', 'corner', 'room', 'overlook', 'n', 'michigan', 'av', 'tribun', 'build', 'say', 'star', 'hotel', 'damn', 'place', 'faint', 'prais', 'wonder', 'staff', 'unbeliev', 'help', 'standard', 'room', 'superb', 'hd', 'plasma', 'screen', 'luxuri', 'bedlinen', 'ipod', 'radio', 'huge', 'bathroom', 'locat', 'unbeat', 'right', 'heart', 'everyth', 'watch', 'whole', 'light', 'festiv', 'parad', 'window', 'breakfast', 'excel', 'help', 'buffet', 'full', 'attent', 'tabl', 'servic', 'would', 'hesit', 'recommend', 'stay', 'hotel']"
0,got back day chicago shop girlfriend first time stay omni saw rate includ free food travelzoo three us year old stay one suit doubl bed comfort pull sofa plenti room food restaur great servic outstand everon came contact earli morn deliveri free coffe juic hot chocol fabul recommend staff eat time movi shop area etc realli help need mention outstand locat simpli best decid omni new favorit hotel,131,723,25,21,20,"['got', 'back', 'day', 'chicago', 'shop', 'girlfriend', 'first', 'time', 'stay', 'omni', 'saw', 'rate', 'includ', 'free', 'food', 'travelzoo', 'three', 'us', 'year', 'old', 'stay', 'one', 'suit', 'doubl', 'bed', 'comfort', 'pull', 'sofa', 'plenti', 'room', 'food', 'restaur', 'great', 'servic', 'outstand', 'everon', 'came', 'contact', 'earli', 'morn', 'deliveri', 'free', 'coffe', 'juic', 'hot', 'chocol', 'fabul', 'recommend', 'staff', 'eat', 'time', 'movi', 'shop', 'area', 'etc', 'realli', 'help', 'need', 'mention', 'outstand', 'locat', 'simpli', 'best', 'decid', 'omni', 'new', 'favorit', 'hotel']"
0,arriv omni nd septemb day stay took ill left plane travel manchest saw room anticip go day room spaciou clean bed extrem comfort bathroom larg clean could ask coffe juic left outsid door everi morn time request manag go th floor see sun terrac outsid gym sun terrac citi hotel great idea terrac bit grim sunb concret floor also nois air condit unit could bit cheer saw chicago pleas someth everyon would go back omni ye would,164,818,31,19,26,"['arriv', 'omni', 'nd', 'septemb', 'day', 'stay', 'took', 'ill', 'left', 'plane', 'travel', 'manchest', 'saw', 'room', 'anticip', 'go', 'day', 'room', 'spaciou', 'clean', 'bed', 'extrem', 'comfort', 'bathroom', 'larg', 'clean', 'could', 'ask', 'coffe', 'juic', 'left', 'outsid', 'door', 'everi', 'morn', 'time', 'request', 'manag', 'go', 'th', 'floor', 'see', 'sun', 'terrac', 'outsid', 'gym', 'sun', 'terrac', 'citi', 'hotel', 'great', 'idea', 'terrac', 'bit', 'grim', 'sunb', 'concret', 'floor', 'also', 'nois', 'air', 'condit', 'unit', 'could', 'bit', 'cheer', 'saw', 'chicago', 'pleas', 'someth', 'everyon', 'would', 'go', 'back', 'omni', 'ye', 'would']"
0,visit chicago chose hyatt due locat downtown within walk distanc major attract sear tower magnific mile grant millenium park etc subway bu stop close travel locat citi overal hotel nice clean great locat safe area went beauti wrigley field soldier field saw team play love chicago would defenit stay,86,485,18,16,20,"['visit', 'chicago', 'chose', 'hyatt', 'due', 'locat', 'downtown', 'within', 'walk', 'distanc', 'major', 'attract', 'sear', 'tower', 'magnific', 'mile', 'grant', 'millenium', 'park', 'etc', 'subway', 'bu', 'stop', 'close', 'travel', 'locat', 'citi', 'overal', 'hotel', 'nice', 'clean', 'great', 'locat', 'safe', 'area', 'went', 'beauti', 'wrigley', 'field', 'soldier', 'field', 'saw', 'team', 'play', 'love', 'chicago', 'would', 'defenit', 'stay']"
