review_text,verified_purchase,helpful_review_count
get older know like suitabl bodi like dove give fresh wide awak feel dandruff flakey smelli pit,True,0
three gigant marmit jar last probabl whole life els would possibl wish order came time mention safe pack happi,True,0
excel,True,0
great flavour top slow cook,True,0
say,False,0
excel item good men,False,0
thank happi,True,0
beauti,True,0
alway buy big bottl,True,0
alway heavili mistreat hair work wonder time time,True,0
great valu,True,0
one pictur get star regular one awesom peopl dri,True,0
item describ excel qualiti rapid deliveri great irrit red blemish,True,0
good bodi wash strong smell,True,0
great,True,0
worth,True,0
rememb tri friend hous year ago ive month one ill buy,False,0
best antiperspir unless like go work snow drift arm,True,0
love,True,0
die eat one u die content man love u em,False,0
love rang bodi lotion u greasi easi appli soak quickli leav feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False,0
suffer dri sensit vaselin one make flare itch like crazi first thing notic beauti fresh smell escap lift cap appli drop instantli felt sooth relief easili moisturis absorb effortlessli greasi unlik alot moisturis tri everi day improv dri condit massiv recommend enough absolut love review collect part promot,False,0
absolut love stuff leav love linger fragranc smell time open wardrob cloth drawer get everyth clean realli well remind kid mum put freshli launder cloth love,True,0
happi,True,0
love wash cashmer sweater home save lot money compar take cloth dri cleaner everi week happi purchas,True,0
prior receiv pretti rough elbow particular feel dri busi mum two admit sometim neglect may empathis trial gave perfect opportun reconnect bit u cme time u day bath shower smother must admit first time put u sure smell u offens u like cucumb smell although u alo tend smell perfum time howev day actual like smell applic went nice thick soak pretti quickli u feel sticki alway morn wash even even bedtim feel notic softer rough elbow gone verdict thumb ye continu thank fab trial introduc vaselin alo review collect part promot,False,0
happi item,True,0
realli like textur almost like gel realli light easili absorb leav feel soft fresh without weight thicker cream would buy review collect part promot,False,0
smell nice,True,0
great deal tresem shampoo give long last suppli need keep buy good price,True,0
love comfort,True,0
horribl,False,0
great buy,True,0
love contain easi pour refil nother automat liquid futur thick gloopi hard econom scent smell like wear wash may love rins,True,0
wash shark well,True,0
excel,True,0
good pleasant smell deoder boy love christma,True,0
deliv quickli decent shampoo star one bottl leak deliv,True,0
lot make brand past bought expens make remov none ever remov mascara eye shadow foundat base etc gentli well simpl cleans lotion consist runni squeez bottl appropri onto cotton wool ideal control much dispens also great tidi eyelin mascara error appli spars cotton wool bud alway keep bathroom cabinet pay,False,0
sure big jar cost doubl size though,False,0
got offer cloth come soft smell great last long time genuin well,True,0
amaz buy last month smelt amaz neighbour even ask buy one,True,0
great buy smell gorgeou,True,0
textur like bath shower,True,1
share famili,True,0
love even better deal,True,0
great,True,0
bought item give gift advertis dove moisturis deepli nourish bodi wash receiv dove idratant bagnodoccia di belleza languag cannot read even less distinct fragranc,True,0
good price nice smell overpow leav white powderi mess like anti perspir happi,True,0
good wipe good buy,True,0
nice fragranc seem last cloth,True,0
